Local_X,Local_Y,v_Vel,v_Acc,Space_Headway,dis_cen,i_l,i_r,i_f,dis_l,dis_r,dis_f
5.304,807.167,42.76,0.1,84.51,0.212048582,0,0,1,99.0,99.0,84.51
5.358,811.446,42.75,-0.21,84.21,0.266048582,0,0,1,99.0,99.0,84.21
5.418,815.726,42.67,-1.17,83.91,0.326048582,0,0,1,99.0,99.0,83.91
5.473,819.995,42.49,-2.41,83.69,0.381048582,0,0,1,99.0,99.0,83.69
5.499,824.237,42.24,-3.01,83.64,0.407048582,0,0,1,99.0,99.0,83.64
5.487,828.442,41.98,-2.41,83.76,0.395048582,0,0,1,99.0,99.0,83.76
5.445,832.621,41.78,-1.44,83.99,0.353048582,1,0,1,11.678,99.0,83.99
5.398,836.786,41.67,-0.66,84.21,0.306048582,1,0,1,11.778,99.0,84.21
5.358,840.946,41.64,-0.08,84.39,0.266048582,1,0,1,11.87,99.0,84.39
5.34,845.109,41.62,-0.05,84.59,0.248048582,1,0,1,11.94,99.0,84.59
5.331,849.274,41.58,-0.56,84.88,0.239048582,1,0,1,12.001,99.0,84.88
5.308,853.433,41.51,-1.1,85.23,0.216048582,1,0,1,12.076,99.0,85.23
5.251,857.576,41.43,-0.65,85.6,0.159048582,1,0,1,12.184,99.0,85.6
5.184,861.707,41.43,0.66,85.98,0.092048582,1,0,1,12.312,99.0,85.98
5.128,865.849,41.52,1.37,86.32,0.036048582,1,0,1,12.416,99.0,86.32
5.105,870.01,41.64,1.05,86.63,0.013048582,1,0,1,12.446,99.0,86.63
5.096,874.183,41.71,0.36,86.91,0.004048582,1,0,1,12.428,99.0,86.91
5.079,878.362,41.71,-0.44,87.19,0.012951418,1,0,1,12.402,99.0,87.19
5.063,882.532,41.65,-0.78,87.51,0.028951418,1,0,1,12.39,99.0,87.51
5.047,886.69,41.6,-0.35,87.86,0.044951418,1,0,1,12.391,99.0,87.86
5.065,890.845,41.6,0.34,88.21,0.026951418,1,0,1,12.353,99.0,88.21
5.086,895.003,41.64,0.73,88.56,0.005951418,1,0,1,12.313,99.0,88.56
5.107,899.177,41.66,-0.24,88.88,0.015048582,1,0,1,12.295,99.0,88.88
5.129,903.332,41.73,1.11,89.23,0.037048582,1,0,1,12.276,99.0,89.23
5.149,907.464,42.3,8.58,89.59,0.057048582,1,0,1,12.259,99.0,89.59
5.176,911.762,43.7,11.2,89.8,0.084048582,1,0,1,12.234,99.0,89.8
5.203,916.265,45.97,11.2,89.79,0.111048582,0,0,1,99.0,99.0,89.79
5.196,921.011,48.86,11.2,89.55,0.104048582,0,0,1,99.0,99.0,89.55
5.173,926.037,51.75,11.2,89.02,0.081048582,0,0,1,99.0,99.0,89.02
5.119,931.306,54.02,11.2,88.25,0.027048582,0,0,1,99.0,99.0,88.25
5.063,936.781,55.42,8.57,87.26,0.028951418,0,0,1,99.0,99.0,87.26
5.013,942.422,55.99,1.1,86.12,0.078951418,0,0,1,99.0,99.0,86.12
4.962,948.038,56.07,-0.22,85.0,0.129951418,0,0,1,99.0,99.0,85.0
4.912,953.657,55.9,-2.23,83.88,0.179951418,0,0,1,99.0,99.0,83.88
4.861,959.292,55.13,-11.2,82.71,0.230951418,0,0,1,99.0,99.0,82.71
4.812,964.685,53.38,-11.2,81.82,0.279951418,0,0,1,99.0,99.0,81.82
4.702,969.864,50.63,-11.2,81.31,0.389951418,0,0,1,99.0,99.0,81.31
